,댓글,출처,,,,라벨링
59517,개오랜만이다 게이야 2ㅇㅂ줌,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59518,"이상 소설 날개에

마누라가 약맥이고 몸팔자너",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59519,쌍배 ㅇㅇ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59520,극좌 페미 10선비가 이 글을 싫어합니다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,1
59521,닥 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59522,필수과목 리포트를 써도 이거보다 잘 쓰기 힘들겄다 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59523,간만에 정보 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59524,이주제로 리포트 냈으면 최고점 확정급,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59525,@응디딲노무딲 교수가 대깨문이라 C줬답니다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,1
59526,"하 ㅋㅋㅋㅋㅋ 진심 위에 탑급이라고 사진올린애들 지금 내가 여장하면 진심 내가 와꾸로 다 바를자신있다.
꼴랑 100년전인데 지금이랑 와꾸차이 왜이리 많이나냐, 지금 내가 저때로 갔으면 나랑 눈도 못마주치겠노",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,2
59527,@정숙보지털 멀리갈것없고 너거 증조 고조 할아버지 생전모습보면 알수있는것,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59528,"일제시대 X
일본통치시대 O",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59529,너 게이는 무조건 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59530,제2의 이영훈 교수 등판했노 이게 ㅇㅂ지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59531,정보게이는 묻따 일베,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59532,잘봣다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59533,일제가 만주와 중국 대륙을 침략 하기 위해 한반도는 병참기지 역활을 했으니 그냥 대호황을 누렸다고 봐야지..거지 새끼들이 꿀발아 놓고 인제와서 보따리 내놓으라고 지랄~~,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59534,"대체 이런건 어디서 배울수있냐?

학교에서 이런걸 가르쳐야지 병신 쓰레기 국뽕교육",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59535,"@프다포디 배워야 알아서 네가 그모양 그꼴로 사는거

이 세상에 학교에서 배워서 아는 것은 단 하나도 없다 그건 그냥 네가 잔머리가 좀 돌아가고 노력 하는 인간인걸 회사가검증하는 수단일 뿐이다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59536,ㅇㅂ 저장용,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59537,"ㅇㅂ주려고 로긴함

2베받아라 참고문헌에서 감탄함",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59538,"학교 국사에선 이런거 안가르침
진정한 역사교육 ㅇㅂ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59539,@섹스잘하는사람 학교에서 이런 진실을 가르치면 애들 전부다 친일파 돼서 일제시대로 돌아가자면서 나라를 넘기게 되면 정치인들이 제일 손해보니까 핍박 받았다고 역사왜곡 하는 수밖에,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59540,@헬조선 좀 뒤져라 씨발아 ㅋㅋㅋ 니애미 고문해도 좋다고 할새끼고 니자지 존나 때려도 고맙겠지? 병신새끼 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59541,@나라일으켜세울놈 갑자기 왜 패드립을 치노 ㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59542,"@나라일으켜세울놈 갑자기 니 애미 고문이 왜 튀어나오지? ㅋㅋㅋㅋㅋ

반일국뽕 머가리 수준 ㅋㅋㅋㅋㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59543,@얌전하고아름다운 저런새끼들은 좀 당해야함,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59544,@헬조선 블라할거니까 뒤져라^^,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59545,@나라일으켜세울놈 나 블라하고 뒤져라 ^-^,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59546,@동아시아연방 병신새끼 내가 국뽕 얘기함? 이새끼 논점 흐리기 하네 너도 뒤져라 씨발아 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59547,@나라일으켜세울놈 헛소리 그만하고 나 블라하고 뒤져라 ^-^,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59548,@동아시아연방 블라해줄테니까 너도 좀 뒤져라 ^슨^,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59549,@나라일으켜세울놈 헛소리 그만하고 나 진짜로 블라하고 뒤져라 ^-^,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59550,이런 정보글은 진짜 ㅇㅂ 줄 수 밖에 없다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59551,엔카가 좋네 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59552,"조선인 노동자 임금문제에 관해서 찾아봤는데
처음에는 조선인 노동자 평균 임금수준이 일본인의 절반밖에 되지 않았다.
근데 임금상승률이 일본인의 2배더라 격차가 날이갈수록 좁혀졌음
독립안하고 50년대쯤 되었으면 임금격차도 없어졌을듯했음",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59553,@알낳는여중생 ㄹㅇ ㅋㅌㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59554,지난글 링크 다 깨졌던데.. 어디서 볼 수 있냐....,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59555,"좋은 자료다.
이런데도 욱일기보고 풀발기하는 씹새끼들이 주장하는
위안부가 무슨 뭐 납치 강제 성매매...??
좌빨새끼들 선동술 하나는 알아줘야한다니까..
강제로 사까시 시키는 야동만 봐서 지 좆 씹어갈 현실은 생각 못하는건가...

덧붙이면 '남녀칠세부동석' 이나 '신체발부수지부모' 이런 개 좆같은소리는
좆선인들 정조개념이나 유교 이딴게 아니라,
아무나랑 섹스하면 매독걸려 뒤지니까 나온 얘기이고
한편으로 머리 자르면 오래 못산다는 '미신'에서 비롯된거임.

이거 그대로 인정해버리면 위안부가 자발적으로 참여한 창녀가 되는 동시에 조선시대가 미신에 쩌들린 존나 병신 미개한 씹 유사국가라는게 밝혀지니까

좌빨새끼들이 눈을 뒤집고 반대하는거임.

위안부는 창녀다. 일본여자가 50%였고.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59556,"@대체왜100일벤 근데 남녀칠세부동석은 ㄹㅇ임

나 첫키스 7살이었고 상대 여자는 1살 많은 8살로 기억함 ㅎㄷㄷ

이 과정에서 내가 피해 당한 것에 대해 엄청난 일화가 있지만 확실히 남녀는 7살이 되면 같이 못 자게 갈라놔야 한다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59557,"@헬조선 남녀칠세부동'석'

같이 앉지도 말라는거다.

일찌기부터 섹스가 어떤건지, 자지보지는 어떤건지를 확실히 가르치고 섹스는 언제 어떻게 해야하는지 똑바로 교육해서

'알지만 막 하지 않는' 자주적인 상태를 만들어야지

중딩 고딩 되도록 자지는 피터지게 빨딱거리는데 무조건 같이 앉지도 못하게 강제해라??

그게 말이냐 방구냐.

사회 전반적으로 소통이 좆도 안되고 다들 이기심만 가득차서 온갖 사건사고가 끊이지 않는데에는, 어릴때부터 저런 강제 속에 자라다보니 억압된 욕구가 옆구리터진 호스마냥 찍찍 쏟아져서 그런거다.

능동은 없고 욕구만 치솟으니 철학이고 좆도 없고 말이다.

니 충격적인 과거에는 유감이긴 하네.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59558,"이제 일제시대에도 저런 완벽한 한글이 쓸 수 있게 된 것도 올려라

일제가 미완성 한글을 개량해서 완성시켜 보급한 정보도 올려야지^^

저기 있는 아리랑 가사가 증거잖냐

좌빨들이 일제시대 한글을 못 쓰게 해서 없앴다고 염병하는 허위사실에 대해서 말이지

오히려 일제시대가 풍족하고 굶어 죽는 사람도 없고 살기 좋았기 때문에 나는 지금도 일제시대로 회귀하길 원해

문재인이랑 애미추는 권력과 자리를 잃게 되니 절대 안 된다고 눈이 뒤집히겠지만 ㅋ 그러면서 일제시대가 얼마나 혹독했었는지 아냐고 선동하겠지 ㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59559,"야인시대 김두한이 싸운 혼마치 패거리가 거기였구나 ㅋ

니놈이 감히 계집을 빼돌려",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59560,응 2베,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59561,전라도는 유전자가 짱깨임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59562,"내가 배우기론,

일본순사가 젊은여자들 막 거리서 희롱하고

마치 북두신권 세기말 처럼 고통스런 시대라 햇는디?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59563,와 일베 수준높다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59564,"‭★ 독립운동가? 그거 폭도새끼들 미화한 거잖아

일제시대 되고 한반도 드디어 살기 좋아졌는데

그거 싫다고 폭동 일으킨 개썅년놈들을 독립운동가 라는 이름으로 미화한 거야 그것들 빨지 마라


그리고 아리랑 가사 진짜 좆같지 않냐?

자기 버리고 가면 10리도 못 가서 발병난다고 저주하는 좆같은 노래

이게 딱 조선인들 민도다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59565,"와 부캐동원 3ㅂ준다

오랜만에 양과질의 정보글 닥 ㅇㅂ

잘 읽었다 역시 조1센징 수준 ㅋㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59566,"글다운 글 봤네
브금 선정 기가 막히다 게이야",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59567,삼대 홍경애,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59568,"젖선 어디 안감

적당한 일뽕은 좋지만 쪽빨이 빨아대는건 ㅂㄷㅂㄷ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59569,근대화네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59570,오랜만에 고퀄정보게이ㅇㅂ안줄 수가 음노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59571,씨발 존나게 못생겼네 줘도 안먹겠다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59572,고퀄 정보게이 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59573,ㅇㅂ다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59574,고퀄정보,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59575,참고문헌있는 expertise한글은 무적권 ㅇㅂ야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59576,"노래 가사 무슨내용이냐?
이지카야에서 뜨끈한 사케 먹고싶은 느낌이노",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59577,"@제스타임 남방 작전으로 전쟁터에 나간 남편에게 애들은 잘 크고 있고
자신은 후방에서 집 안을 잘 지키겠다는 내용임.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59578,@제임스클래퍼 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59579,ㅇㅂ논문한편 나왔노이기 정독했다. 글의 격은 참고문헌이 달려있을때 파악 올라가는거 같다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59580,"sci급이네
ㅇㅂ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59581,@비둘기날아간다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59582,"정보글 읽으면서 BGM이 노무 노무 좋네 게이야
이런음악 추천좀 해주라.....
추천해도 듣기가 어렵겠네...
일반 스트리밍에는 없을꺼같노...
앙망한다...",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59583,정보글 2베,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59584,BGM가수 누구노??,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59585,"@네브라스카 銃後の妻 - 菊池章子
후방의 아내 - 키쿠치 아키코
내가 올린 게 당시 전시 가요를 전쟁 후에 복각한 건데 이젠 유튜브에서는 지워져서 없을 수도 있다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59586,@제임스클래퍼 고마워,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59587,일제시대를 묘사하는 대부분사람들의 사관이 메갈이 나중에 정권 잡아서 2000년대 얼마나 한남들한테 억압받았는줄 아노? 하면서 역사교과서 쓰는거랑 동급임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59588,@짱믈리에 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59589,ㅇㄷ: 일제시대의 밤문화,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59590,이런거 많이 올려라. ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59591,한반도 최고의 전성기=일제시대,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59592,중간만화 출처좀 알려줭,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59593,조선 자체가 통수의 통수야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59594,ㅇㅂ 재밋다!,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59595,"연홍이누나 ,, 이쁘다 ,, 하악하악",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59596,"2ㅂ줬다
이런글 많이 부탁한다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59597,부랄독립운동 ㅇㅂ ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59598,"팩트정보게이 ㅇㅂ

참고문헌 제시하는 게이는 니가 처음이다 ㅇㅂ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59599,개좆같은 브금충 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59600,일본 유곽 복장들이 존나 꼴림,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59601,"좋은 글이라 흥미롭게 읽었는데
글쓴 새끼 국어실력이 의심되는 수준이네

이해는 되지만 시발 한 문장 안에서도 순서가 존나 뒤죽박죽이라",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59602,"사실 같은 민족이었던 조선인들이 짱깨들에게 500년간 짓밟히고 영혼까지 털려있는 모습을 보고는 마음이 동하지 않을수 없었을거야.. 갓본이 진짜 손해 감수해가며 발전시키던 지역은 조선이 유일하다시피했고 80%의 가축보다못한 천민들에게 직업과 개인재산보유를 가능케해주면서 양반들과의 차이를 없애버리는 해방군역할까지 자처함 모든 조선인들에게 공평한 기회를 부여하고 황국신민으로 받아줬지만 짱개들에겐 그 유명한 갓데키성님의 바퀴벌레드립으로 사람취급도 안해주고 짜내기만 하셨재

미군이 이념을 위해 한국전쟁에서 한국을 지켜주었지만 그 이전에 흙노예보다 못한 조선인들에게 자유의 맛을 느끼게해주고 사람답게 사는것에 대한 씨앗을 심어준건 갓본이었음

수천년간 괴롭히고 500년간 내장이 튀어나오도록 후장을 강간하던 주적짱개들 잔인하게 학살해줘 신분제도 없애고 의식주 제공해줘.. 한마디로 병든 동생을 위해 싸워주는 참된형이나 다름없었던게 갓본강점기의 진실임

갓본애니 반딧불의묘 보면 싱크로지린다

괜히 서양에서 한국을 재팬시스터 라고 부르는게 아님

해방후에도 모든걸 다 제공하고 지원해주고 카피하도록 내버려둠 반도의 근현대사는 완전히 일본이 업어다키운수준이라는게 팩트다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59603,뭐하는새끼냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59604,ㅇㅂ를 안줄수가없네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59605,12년 무렵에 일베에 댓글로 일제시대는 서얼싸움에서 밀려 본가에서 쫓겨났던 서자가 이악물고 성공해서 패가망신한 본가 접수하고 구제시켜준 스토리랑 같다고 썼다가 개쌍욕 존나 처먹었었는데...,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59606,"일본이 우리나라에 철도 만들고 조선총독부 건물 만들고 경찰서, 박물관 등 초가집만 있던 경성에 기여는 마이 햇다.
인정은 해야한다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59607,논문이네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59608,브금 좆같네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59609,파도파도 미담만... 갓본,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59610,몇 안 남은 진짜 정보게이네 ㅇㅂㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59611,흥미로운 글 잘읽었다 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59612,"누가 일본에 해달라고 했냐 별 소리를 다해도 나라를 뺏어간거니 의미가 없는데
지금 어디 못사는 나라에가서 우리가 철도 깔아주고 다 해준다고 국권을 달라고해봐라 누가 주나 ㅋㅋㅋ 하긴 친일파같은 사람이 있으면 모르겠다

일본이 철도 깔아준걸 누가 안했다는게 아니야 ㅋㅋ 나라를 슈킹쳐서 꿀꺽먹고 한민족의 역사를 없애고 끊을뻔했는데 그걸 왜 대한민국 사람이 고마워해야되냐
조선족이 중국이 한복을 주장하고 역사를 가져가는걸 옹호하니까 친중짱개라고 욕먹듯이 친일파도 똑같이 욕처먹어야 돼",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59613,헌티드 하우스로 사용하면 인기좀 끌지 않을까?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59614,@스타벅대위 발상의 전환 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59615,@스타벅대위 ㅋㅋㅋㅋㅋㅋ 발상의 전환 ㅇㅂ ㅋㅋㅋㅋㄱㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59616,"@스타벅대위 아 씨벌ㅋㅋ
노부부 눈물을 머금고 이 악물고 컨셉 바꾼후 개장",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59617,@스타벅대위 그게 말이야 막걸리야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59618,"@스타벅대위 글치 철구같은 bj들한테 별풍좀쏘고 너 쫄보야? 쫄보아니지 쫄보아니면
여기 펜션 와보라 한 후 몰카나 공포체험 이런거하면 존나 흥할텐데 ㅋ
유튜버 bj들 너도나도 컨텐츠찍으려드는 관광지될듯",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59619,@코코로코 지랄하고 자빠졌네 ㅋㅋㅋㅋㅋㅋㅋ피해자 가족들이가만히있을거같냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59620,@울집고양이깜식이 주인이 하겠다면 뭐 어쩔건데 존나 씹선비 공산주의 노예마인드일세 ㅋㅋㅋ 펜션주인이 피해자가족 생각해주면 피해자가족이 펜션매입해주냐?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59621,박원순 마누라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59622,@익명815e62 .... 애매하네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59623,이미 막산 인생이니까 될대로 되란식으로 배째는 거지;;;;,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59624,@niombad 무기징역인데 뭐가 무섭겠노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59625,"언론이 아니여도 시발 제주새끼들 이웃일인데 안퍼질 수가 있나 ㅋㅋㅋㅋㅋ
저거는 무조건 퍼짐ㅋ 조그만 섬에서 어떻게 숨기냐 저걸",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59626,"고유정 관상 살인자만큼 안봤는데

5시 사진보니 좋은 관상이 아니네",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59627,@익명04dfc5 한눈에 딲! 이쁜 미인상은 아니지만 매력있는 얼굴임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59628,"@익명04dfc5 내 애인이랑 비슷하다 .
이년도 설마?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59629,"저건 변호사가 이상한건데....

상식적으로 고유정에게 받아낼 확률이 희박한데 저걸 왜 고유정에게 함?
차라리 언론때문에 알려졌다면 해당 언론을 상대로 하던가",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59630,"@빨갱이는3대를멸족 이게 맞는말이지 .깜방에서 무기징역 받은 사람한테 고소 해봤자 .
뭐가 떨어져 ??",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59631,"@왕자탄백마 어차피 변호사는 고소인에게 돈받으니
고소인은 괜히 헛돈쓰고 헛수고 한거",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59632,ㄱㄴㄱㄴㄱㄴㄱㄴㄱㄴㄱㄴ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59633,고유정 코에 새우깡넣은짤좀 찾아주라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59634,@노짱과브루스 옛다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59635,@동원양반김씨 흔한 80년대생의 청춘,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59636,@동원양반김씨 감사,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59637,고유정집안이 돈좀있는걸로 아는데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59638,위기를 기회로 삼으라고 공포 컨셉으로 식당 운영해라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59639,@인간말종하수구,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59640,"일베 기준 ㅅㅌㅊ 알려준다

키 : 188cm ~ 192cm

몸무게 : 80~ 90kg ( 배나온게 아니라 근육질이어야함 체지방률 15% 이하)

학벌 : 하버드 대학교, 예일 대학교 , 존스홉킨스대학교 의과 대학원 , 프린스턴대학교 , 시드니 대학교 , 메사추세츠 공과 대학원 , 옥스퍼드 대학교 그이하 서울대 ,포스텍 ,의예과 , 카이스트는 ㅍㅌㅊ고 나머지는 사람취급안해줌 뭐씨발 서강대니 고려대니? 좆까고 짐승미만으로 취급함

최소 세계 대학순위 15위안엔 무조건 들어가 있어야함

아랫도리 : 20cm 이상 ( 위에서 부터 재서 정확하게 피부 밑까지만 측정 , 살에 파묻힌건 취급안해줌 )

재산 : 300억 이상 + 서울 중심지 건물 2채 이상 보유

연애 : 여자한테 최소 고백 30번 이상 받아야함 ( 메갈 같은 ㅎㅌㅊ 와꾸 는 물론이거와 한국년은 일단 취급안해주고 무조건 백마기준임 )

국적 : 최소 2개이상의 이중국적 이어야함 EX) 후진국 + 한국 안됨 , 무조건 선진국 + 한국이 들어가야함

군대 : 무조건 현역 최소 못해도 특공대, 해병대는 나와 줘야 하고 ( 무조건 소총병이어야함 , 뭐 PX병 군종병 칼같이 처냄 )

UDT 병과 출신 , 707특임대 면 베스트",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59641,@미네랄워터수 느금마,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59642,Hannyeo,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59643,"얼마나 부귀 영화 누리 겠다고 사람을 죽이노 ㅋㅋㅋㅋㅋ
결국 지인생이 좆되는걸 모르니 어휴 한심한 살인자",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59644,@익명a30b03 지랄하고 자빠졌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59645,유정이 누나가 심했네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59646,악마의 보지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
59647,펜션하나 차리는데 비용과 벌어들이는 수익 기술바람,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
